hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-68,10,11,2,33,-64.0,-64.0,-64.99552965895323,-64.6642334003133,-64.99851348976236,-66.60522279533195,-66.3356806374677,-65.99815998455496,-65.87137011159786,-65.65898134963832,-65.48855154111591,-65.44263618173855,-65.3174968629213,-65.29188578140642,-65.26984844098128,-65.25067205941399,-65.23382202029181,-65.34661504050483,-65.69097322922177,-65.65068792972642,-65.55827849627264,-65.52818146129283,-65.50068844255259,-65.87849985028723,-65.83556876274346,-65.74837946721662,-65.66750564397967,-65.7276331799584,-65.73964194666253,-65.66458510973966,-65.59420877690624,-65.56955905666952,-65.58710038067078,34,-65.47608215423922,-65.56955905666952,-64.0,0.26887922026933514,1.0821249613941275,2.76691945893834
HDOK,PLOK,17472,2,2,-69,10,11,2,33,-75.0,-66.08910802863338,-68.03581250386215,-67.69111076233612,-68.51917143596185,-69.82053057070743,-69.51483485051624,-69.15142527854914,-69.00516709644828,-68.66409949301669,-68.39041228937305,-68.35372031511184,-68.14955036523268,-68.056821171506,-67.97703130365852,-67.90760001469494,-67.8465916366944,-67.92025149109801,-68.41240399473051,-68.33005765260053,-68.25559786409401,-68.24181847279064,-68.17717906181842,-68.52090922473128,-68.3977158347934,-68.28382462093512,-68.22443945460961,-68.169187792921,-68.11763781544444,-68.02627234999309,-67.94060438595815,-67.86010177969727,-67.78429893496664,34,-68.4495541771965,-68.22443945460961,-75.0,1.7025528021295213,-3.8633428960135605,19.67125313596625
HDOK,PLOK,17472,3,3,-68,10,11,2,33,-65.0,-65.0,-66.49329448842984,-65.99635010046994,-65.7470101328545,-66.80181759779326,-67.00301127081171,-66.7135634494482,-67.51208924083495,-67.22698287919853,-66.99820136470638,-66.810405142512,-67.08708177992175,-66.91872603271217,-66.77386245435721,-66.64780553459532,-66.60426039986027,-66.56567065619998,-66.47030274561914,-66.44288303359629,-66.36210701211245,-66.3425856666142,-66.32475332140218,-66.7114282488456,-66.62779308834783,-66.55047311237243,-66.52501018168634,-66.59156768939226,-66.7859373087936,-66.79517304177647,-66.76155423651335,-66.77144574533989,-66.78075978550028,34,-66.56799717401871,-66.64780553459532,-65.0,0.26146376248478387,1.6455375762046116,3.8629097292090644
HDOK,PLOK,17472,4,4,-69,9,11,2,33,-75.0,-67.079207136563,-68.53307509816823,-68.02289236310915,-67.76691010489347,-69.01852298008933,-69.01541268036155,-68.57966643990787,-69.14115311457353,-68.89814567507682,-68.70314613272421,-68.63706260895702,-68.58180156536338,-68.45420456028387,-68.34441229569201,-68.24887361823217,-68.2321444693454,-68.2811818514127,-68.32496640127758,-68.24771786828178,-68.17786765659629,-68.16827873436823,-68.10746723019466,-68.50508891766684,-68.3826686445227,-68.26949217039305,-68.16451352469994,-68.24733809996621,-68.28052327708585,-68.22527511123853,-68.17347219137791,-68.16627599846979,-68.07799594576082,34,-68.5471743777774,-68.28052327708585,-75.0,1.441599261672713,-4.857583032543229,26.368182559354448
HDOK,PLOK,17472,5,5,-69,9,11,2,33,-67.0,-67.0,-68.49329448842984,-67.66356618422954,-67.49750651222423,-68.60241464139919,-68.8370912074511,-68.57161988664954,-69.13412866346431,-69.00541217855137,-68.7993929766637,-68.72426392124528,-68.74818223516634,-68.60716403008624,-68.48582334442692,-68.38023549929908,-68.35467627640918,-68.39588843771749,-68.37177413693608,-68.35009886527908,-68.21853474538102,-68.20675344282334,-68.14393924457944,-68.48934401216071,-68.36769317103916,-68.30272790986227,-68.24246834454274,-68.32177528296978,-68.3075880765261,-68.25117220013821,-68.28283159332251,-68.47851514101352,-68.41826271026514,34,-68.33497392000766,-68.37177413693608,-67.0,0.2118497947652993,1.4415105541910087,2.8874649636622833
HDOK,PLOK,17472,6,6,-70,9,11,2,33,-76.0,-67.08910802863338,-68.53804767438552,-68.02621014593906,-68.01965096866135,-69.22051313682371,-69.35140124266071,-69.01160886267886,-70.28037024656807,-70.02156253639019,-69.71115258233752,-69.55033396003196,-69.58933956840998,-69.46113450563595,-69.27531915460571,-69.18469047933945,-69.17227568604483,-69.16127368332397,-69.09053834422019,-69.0269574962942,-68.91348359823373,-68.86423730271441,-68.81925183067345,-69.13063470213017,-69.07538212882433,-68.97680172724311,-68.88536190170107,-68.89053483646725,-68.89536120118706,-68.85673084981303,-68.7782308635378,-68.70446404115806,-68.67575573126176,34,-69.21962784902819,-69.0269574962942,-76.0,1.7563898273715008,-4.0874409303952115,21.29575700826764
HDOK,PLOK,17472,7,7,-69,9,11,2,33,-68.0,-67.00990089207038,-68.49826706464714,-67.99966788329985,-67.99975099662238,-69.20460910606575,-69.33816774884112,-69.14479402939918,-70.39663775416608,-70.01114068816005,-69.70180138725168,-69.54186161486643,-69.58160214415952,-69.45402122551519,-69.34424280267571,-69.24871616998716,-69.23199760468555,-69.21718159473903,-69.14304080080638,-69.07639894110979,-68.96015719346232,-68.90839470425544,-68.86111074134143,-69.22076426150983,-69.16110717976527,-69.05845484857169,-69.00949448731558,-69.00906605763774,-69.09684716560643,-69.04952370401931,-68.96287270522082,-68.96441286663381,-68.88435913777788,34,-69.03910198491472,-69.09684716560643,-70.39663775416608,0.36626406703522135,1.108174634364093,3.36373123176411
HDOK,PLOK,17472,8,8,-70,9,11,2,33,-76.0,-68.079207136563,-68.537545439215,-68.02587504655546,-67.76914636176386,-69.02031019355776,-69.184815522808,-68.86909583496936,-69.90191253976869,-69.45906995696808,-69.2064457656228,-69.09306081800534,-69.1717319014567,-69.07721342034263,-68.99588394022804,-68.85404939094302,-68.86386011128523,-68.87255438184914,-68.81940547218822,-68.77163228292528,-68.67245209713408,-68.63619991399464,-68.60308429476184,-68.97573705282937,-68.92805411603547,-68.83647177734743,-68.75152311678158,-68.85298349001486,-68.90355592637879,-68.8645720136564,-68.8280191168201,-68.75218691512895,-68.6807818156251,34,-69.05631627768255,-68.86386011128523,-76.0,1.6502438696930755,-4.955634517104829,27.030888374845286
HDOK,PLOK,17472,9,9,-70,9,11,2,33,-68.0,-68.0,-68.49776482947661,-68.33211670015665,-68.49925674488118,-70.00541612804932,-70.00450667495288,-69.5703364213902,-69.62491383522082,-69.32700259026834,-69.08794589082018,-69.07968050458571,-68.98602523335767,-68.9064868958922,-68.83804724727536,-68.7074291298451,-68.65987612955489,-68.68159738247209,-69.06646303314777,-69.00428583021984,-68.89208114590937,-68.89789909796777,-68.85116145468348,-69.21131621472828,-69.15212084612274,-69.09739524445959,-69.04663363882098,-69.08965338590187,-69.08570053072161,-69.03885799060134,-69.03721512904755,-68.9527047937164,-68.87312819210327,34,-68.97287935958639,-69.00428583021984,-68.0,0.19042566240102815,-0.13900750543068716,1.2746227371676455
HDOK,PLOK,17472,10,10,-69,9,11,2,33,-75.0,-67.079207136563,-68.53307509816823,-68.02289236310915,-67.76691010489347,-68.81772162855123,-69.01624476463131,-68.72488461955254,-69.26792515849536,-69.0105298877018,-68.80398493536444,-68.72842431558435,-68.9254687522815,-68.77014962025822,-68.63650354268258,-68.59127135694517,-68.61874587341873,-68.64309381847288,-68.60392177834275,-68.56871177499761,-68.48089156151617,-68.45496648962987,-68.43128447285677,-68.76221293759748,-68.67609599873857,-68.59648164032743,-68.52263407096284,-68.54417475287532,-68.65245311238449,-68.62430302842611,-68.68246557438601,-68.6956379391526,-68.62653732281865,34,-68.78423652823292,-68.63650354268258,-75.0,1.3441718122454052,-4.762157181051703,26.18123636868108
