hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-111,2,11,2,33,-115.0,-113.01980178414075,-113.0099451524346,-113.0066355656598,-114.0059884620618,-114.20558732232425,-114.00315024673695,-113.71368234247157,-113.49600424491923,-113.32621715283337,-113.29270434275492,-113.26519521841932,-113.0687042457061,-112.98249655439146,-113.05931793879255,-113.05510259693645,-113.18583753966146,-113.17396943938607,-113.28519635580871,-113.21026650626533,-113.19849528750957,-113.24170475290965,-113.22912348342494,-113.41909827700528,-113.39861751674826,-113.28468347310555,-113.2715150269449,-113.25926317050916,-113.20374173206288,-113.15180630531945,-113.22994535260301,-113.17892320344194,-113.13087973962976,56,-113.35041213130059,-113.22994535260301,-115.0,0.16707284816077062,-2.5287738331998866,7.379068783115267
HDOK,PLOK,17472,2,2,-111,3,11,2,33,-110.0,-110.99009910792962,-111.49279225325931,-110.99601500108633,-111.49751899500905,-112.40162326608585,-112.33418440208263,-112.14138630148906,-112.12342690471795,-111.88243127878079,-111.79177770156632,-111.71736434973991,-111.74188115667621,-111.68203685269421,-111.70604303102213,-111.72693264958352,-111.94694645181174,-112.01419736961891,-112.31789187749327,-112.29935806322904,-112.22661691069847,-112.21439989511602,-112.151187682039,-112.39546831948905,-112.32727368909846,-112.26422834845383,-112.2057496360798,-112.24158942565712,-112.27502806422491,-112.30630697219877,-112.29335674135835,-112.28118734587804,-112.22897641499755,56,-111.94591746845958,-112.151187682039,-112.40162326608585,0.25302980253591906,2.1538097287368347,5.7490361731541455
HDOK,PLOK,17472,3,3,-111,3,11,2,33,-115.0,-112.02970267621113,-113.50821221708173,-113.00630344895964,-113.00472598963212,-113.80698241067904,-113.67147736990496,-113.14092562444534,-113.12302474453,-112.99556848472204,-112.79056054125199,-112.71626158135469,-112.65413054130433,-112.6013646951773,-112.48046185858693,-112.4463185450466,-112.28187834662275,-112.3277395854647,-112.49051193560933,-112.4619139821773,-112.43605493963588,-112.41254702941013,-112.33902081768738,-112.47307956202955,-112.4010921762426,-112.33454046633435,-112.31906581277815,-112.30466827251787,-112.33532573841639,-112.36400310375252,-112.3063349581865,-112.33511044902951,-112.32145403215348,56,-112.7036473314223,-112.4619139821773,-115.0,0.342156627270027,-2.233054104395756,6.129730379496619
HDOK,PLOK,17472,4,4,-111,3,11,2,33,-112.0,-112.0,-112.49776482947661,-111.99933278391623,-111.74924638972487,-112.40200210818547,-112.83824682133238,-112.57260850700206,-113.13499170570226,-113.00617727091223,-112.90281106992477,-112.81796250997392,-112.83375307989684,-112.68583224951352,-112.70955187585062,-112.65912861802626,-112.61482235179837,-112.63942086381604,-112.66138440939362,-112.62282420490641,-112.58795702566542,-112.55626000834123,-112.52730543883335,-112.75263745972309,-112.71585709526256,-112.63435408954729,-112.6050111228346,-112.53258652786465,-112.42092373146932,-112.3596179892174,-112.34441384305872,-112.33012643229165,-112.27592113636665,56,-112.54517677423723,-112.6050111228346,-112.0,0.08695092774813394,0.7366665252519005,0.8439138137625819
HDOK,PLOK,17472,5,5,-111,3,11,2,33,-115.0,-115.0,-115.0,-113.66886433503836,-113.50147878295287,-114.20398657172065,-114.00181828733987,-113.71254285964777,-113.62203310164388,-113.32444880187137,-113.08565445719145,-113.07760442591893,-113.07087274601264,-112.98449013127481,-112.91016124802616,-112.8454819809663,-112.85586859793464,-112.8650732286872,-112.99511558760666,-112.82049358581676,-112.77456040483666,-112.78671395082986,-112.7978159636353,-112.90876084764182,-112.81548231262167,-112.77674700082338,-112.74081744386945,-112.84276090037456,-112.80560322074818,-112.72770048521856,-112.69693432538021,-112.5850566837143,-112.56121446097237,56,-113.22321687061566,-112.90876084764182,-115.0,0.470283030932626,-1.6506647698715644,1.8590749450881048
HDOK,PLOK,17472,6,6,-111,3,11,2,33,-111.0,-111.0,-111.0,-111.0,-111.25025336726301,-112.00320755904204,-112.50641615012117,-112.28872947053365,-112.63312480925948,-112.44777539376206,-112.29904311102958,-112.2709382525721,-112.68115364381833,-112.62620796235402,-112.57892933858263,-112.53778857876652,-112.5016387238012,-112.46960268475902,-112.44099831214,-112.29868259871797,-112.2259792602961,-112.15988618859801,-112.15156375719599,-112.39582544817564,-112.32761336539403,-112.3120517699291,-112.25136091596482,-112.3753906311161,-112.40292991872461,-112.38554551082443,-112.36924518527577,-112.31244442422296,-112.21820771763471,56,-112.17341012272354,-112.31244442422296,-111.0,0.24750894852859034,1.70666482040415,1.652239374839088
HDOK,PLOK,17472,7,7,-111,3,11,2,33,-117.0,-112.04950446035188,-113.51815736951633,-112.68015509837905,-112.7601973620116,-113.41075411043637,-113.34178203403638,-113.00337969065598,-113.00295039018758,-112.7756280924754,-112.69594657748188,-112.63053968686081,-112.57584446439252,-112.44872799256034,-112.49034896099623,-112.4555030351017,-112.4248843695046,-112.4616128474273,-112.73805444670869,-112.753326463944,-112.71115345808072,-112.67281486784884,-112.58574113679029,-112.80812919767278,-112.76863702778725,-112.68462698162315,-112.60670212189639,-112.7146974042954,-112.6390956805127,-112.56837691138367,-112.50206812676343,-112.43975743641315,-112.3810844591635,56,-112.8272782504018,-112.68015509837905,-117.0,0.6288364312297182,-4.607548571982124,23.962869191655543
HDOK,PLOK,17472,8,8,-111,3,11,2,33,-111.0,-111.0,-111.99552965895323,-111.6642334003133,-111.74826012249935,-112.40121388475181,-112.50175949254688,-112.28474572948727,-112.62964709733566,-112.44469238031363,-112.29627682048572,-112.36241457662864,-112.59120798094021,-112.46285220150972,-112.50340679391539,-112.46763293237821,-112.63785726556038,-112.6609847041509,-112.55981103770046,-112.4688705321172,-112.38663966870233,-112.31188532496178,-112.24359877863745,-112.38246483557441,-112.3637743015543,-112.34649506596963,-112.33046743510165,-112.31555540751663,-112.34573285509185,-112.33081621401332,-112.2322725608885,-112.26412040179501,-112.2126049828088,56,-112.26508558921827,-112.34649506596963,-111.0,0.1481407110464462,2.3035235485259635,5.4581344695164
HDOK,PLOK,17472,9,9,-112,3,11,2,33,-117.0,-113.0396035682815,-112.52212547539258,-112.34837051492255,-112.26118962050803,-112.8111464463166,-112.84285792869038,-112.57655328012704,-112.88438820287041,-112.7840156927319,-112.70347250614334,-112.73134094027948,-112.66790186378311,-112.53335952468993,-112.41759107006733,-112.38791557641028,-112.36184010292553,-112.40259476242012,-112.56080754456485,-112.52811119840179,-112.4985462783669,-112.47166943306614,-112.39506576885631,-112.62705995539815,-112.59641639201953,-112.5205868053471,-112.49650630905634,-112.60947407233027,-112.7148733576073,-112.64088516124757,-112.65606803490755,-112.58736892553726,-112.52268048670769,56,-112.71825414545378,-112.57655328012704,-117.0,0.60070358929204,-5.3309402880349355,29.732720919467774
HDOK,PLOK,17472,10,10,-111,3,11,2,33,-110.0,-111.98019821585925,-111.4922900180888,-111.32846381794315,-112.74778484505687,-113.20003269212404,-113.16644405655563,-112.99788549883188,-112.74410689369908,-112.54616170819992,-112.38732204196097,-112.44490312861907,-112.40631067186538,-112.21220412794477,-112.12068286608827,-112.11210671615638,-112.03735150921754,-112.09882890952846,-112.27554463453755,-112.31778201817909,-112.29999182553705,-112.33772956871294,-112.32014999418749,-112.55591839841216,-112.52875142573525,-112.45613591682547,-112.43503668968339,-112.41540607429441,-112.35300023009057,-112.33777003817983,-112.28121098997578,-112.26954543992031,-112.21780893984749,56,-112.28560181520783,-112.33772956871294,-113.20003269212404,0.30003604270953466,2.184570872291158,8.59182798036827
