hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-85,10,11,2,33,-83.0,-83.0,-84.49329448842984,-83.66356618422954,-83.49750651222423,-84.60241464139919,-84.8370912074511,-84.57161988664954,-85.38817586014417,-85.11713288947035,-84.89963644018984,-84.72110360895896,-85.00552657438932,-84.7630839077639,-84.47897153776698,-84.30280708067464,-84.21523309923714,-84.13762494586835,-84.00741823612023,-83.94868347818338,-83.8395915456886,-83.79432880265256,-83.75298222338454,-84.11808320193262,-84.06344400329453,-84.01293054100347,-83.96607597249562,-84.01273080737892,-84.14444075211867,-84.09506386564819,-84.04876609533186,-84.00525985333675,-83.96429351622115,22,-84.19602671998904,-84.09506386564819,-83.0,0.2848546053574988,0.01426730980948569,0.3365929610587175
HDOK,PLOK,17472,2,2,-79,10,11,2,33,-85.0,-77.079207136563,-78.03531026869162,-77.3579917467121,-77.26840310664504,-78.4193155093023,-78.51682156959257,-78.15312490412944,-79.40391041121077,-78.90409422080516,-78.6057519747692,-78.45483917890733,-78.50212833930755,-78.94561756929495,-78.79872368325123,-78.67090003691581,-78.55858304771046,-78.45904761514147,-78.3701743122262,-78.29029005594171,-78.16207417533641,-78.09942625438345,-78.04219867479121,-78.39272907925273,-78.2757996779144,-78.16769946684903,-78.06742939001502,-78.19975883971617,-78.27913222338206,-78.22394407453491,-78.17219742904652,-78.16505411744217,-78.07682385881374,22,-78.48843945298776,-78.27913222338206,-85.0,1.523098351458466,-4.569155186489137,24.305171176067088
HDOK,PLOK,17472,3,3,-78,10,11,2,33,-76.0,-76.99009910792962,-78.48832191221254,-77.66024840139963,-77.49501901571935,-78.60042663755445,-78.83543702072365,-78.5702047403865,-79.00586967583185,-78.66472233404998,-78.3909711449504,-78.26024401663544,-79.19184809327943,-79.01504130637538,-78.78740606034071,-78.66038668418962,-78.61599585144035,-78.51279387812293,-78.42064679040382,-78.33781987467368,-78.20694316185288,-78.14187633444783,-78.08243913385928,-78.43094224496569,-78.36101405229884,-78.24886616869614,-78.19109805618533,-78.31784707536457,-78.34792348234849,-78.41920230958496,-78.48603622738946,-78.63180691823626,-78.56530754287758,22,-78.3313577349796,-78.42064679040382,-79.19184809327943,0.34365818342398885,2.259182994342523,7.086011915377094
HDOK,PLOK,17472,4,4,-78,10,11,2,33,-85.0,-76.08910802863338,-77.53804767438552,-77.02621014593906,-76.76939760139834,-77.81970963239598,-78.18581468159141,-77.86995060897706,-78.01349354892665,-77.78497466887202,-77.60160136506754,-77.54506128576313,-78.19172879925894,-78.09559725597177,-78.01287979853903,-77.8698374636435,-77.8113674637297,-77.75955128903604,-77.65237374864418,-77.61433888602492,-77.52396435842739,-77.4957172134468,-77.46991403094623,-77.84927583749842,-77.80777288753603,-77.72190389273945,-77.64225473552638,-77.65839764912573,-77.6734590392635,-77.68754764622406,-77.61620048942925,-77.54915521601824,-77.48602406180656,22,-77.86159487893292,-77.6734590392635,-85.0,1.7448490483596004,-4.906434479498984,27.071495418830224
HDOK,PLOK,17472,5,5,-78,10,11,2,33,-77.0,-77.0,-77.99552965895323,-77.33144948407289,-77.24850313460607,-78.40341147854431,-78.50358807577295,-78.28631007084977,-79.64720151714872,-79.34676076018667,-79.00294267226586,-78.81470084951106,-78.91751785227616,-78.76284008453686,-78.62974587600486,-78.51393038838394,-78.47938426796433,-78.44876946014342,-78.36052221875833,-78.28120070131764,-78.20947604106101,-78.14427266504333,-78.08471073012237,-78.53385835702274,-78.45890079455583,-78.38960318222844,-78.32532507542365,-78.31064509191081,-78.42921987158081,-78.36755619243468,-78.30973782724323,-78.3798554210999,-78.32362357003777,22,-78.34063919306247,-78.3798554210999,-77.0,0.30873200328925515,0.6030900261896748,1.6346147661174313
HDOK,PLOK,17472,6,6,-79,10,11,2,33,-87.0,-77.09900892070375,-78.54302025060282,-78.02952792876896,-77.77188509790321,-78.82169763624073,-79.18746886831886,-78.8713657552401,-79.26877613489904,-79.01128428362483,-78.80466183098723,-78.63505496343932,-79.18717260492573,-79.01074296919177,-78.85893212350399,-78.72682985313925,-78.67797274680998,-78.634675528402,-78.53510440276072,-78.50390660780306,-78.41971434160196,-78.34317692795302,-78.27326158415946,-78.61215115967356,-78.58223616877474,-78.50708014100144,-78.43736796740716,-78.55300429190176,-78.66089335335231,-78.58923412381488,-78.56432212828412,-78.49942893868317,-78.4383242291107,22,-78.83816011706011,-78.58923412381488,-87.0,2.241962764380962,-5.072896076562347,28.074980107331765
HDOK,PLOK,17472,7,7,-79,10,11,2,33,-77.0,-77.0,-77.99552965895323,-77.6642334003133,-77.49800675523633,-78.60281443493837,-78.8374238693662,-78.57190447680989,-79.3884243006383,-79.11735313352776,-78.89983405822282,-78.7212826543292,-79.0056900887366,-78.84389985281554,-78.7046856417958,-78.5835446702175,-78.54431911573931,-78.50955738859217,-78.4176074414677,-78.39325998466396,-78.31526197939718,-78.2443556377311,-78.17958416168587,-78.62395211455068,-78.54459179323264,-78.47122386877133,-78.40317027895514,-78.5203497415002,-78.54149772146714,-78.51813480690174,-78.53850739404787,-78.47468508391157,-78.41458873560286,22,-78.42694770436727,-78.5203497415002,-77.0,0.25680064474213193,1.3241768672688994,2.4677798943744773
HDOK,PLOK,17472,8,8,-78,10,11,2,33,-85.0,-77.079207136563,-77.537545439215,-77.35865896279586,-77.51915671692015,-79.42292286188349,-79.1839917304656,-78.86839108584067,-78.75808492535087,-78.55855332099273,-78.39844064454422,-78.36099414433873,-78.24293674199937,-78.14267447822675,-78.05640269633155,-77.98133099638062,-77.91536646200261,-77.9846341654734,-78.53377685991947,-78.44435420568655,-78.3634958244926,-78.3438996075188,-78.27394664664796,-78.61280170907094,-78.53398629283585,-78.46112212836822,-78.3935358091778,-78.33065383588807,-78.36016558745861,-78.30148125481084,-78.24645644566824,-78.36068242298772,-78.46823986025746,22,-78.49690578788224,-78.36068242298772,-85.0,1.5326893816820366,-4.509890586037983,23.819389775599994
HDOK,PLOK,17472,9,9,-79,10,11,2,33,-77.0,-77.0,-77.0,-77.0,-78.50152020357807,-79.80642372964263,-79.50309676997011,-79.14138342502409,-78.86937719695204,-78.65721461829622,-78.48696630891146,-78.535182565164,-78.40201544867506,-78.28892100228978,-78.19160762590086,-78.17799131249132,-78.09880737891902,-78.2202228082824,-78.63319164206455,-78.53797288155195,-78.45187350438195,-78.48142324061953,-78.40431186905246,-78.73659919951511,-78.65173396904476,-78.57327680411484,-78.50050260804095,-78.43279386004998,-78.36962138111946,-78.31052907833498,-78.25512173985459,-78.16157192681311,-78.1142355620116,22,-78.34834817153538,-78.43279386004998,-77.0,0.3792794640078606,0.5976246495778482,1.6384199091823546
HDOK,PLOK,17472,10,10,-79,10,11,2,33,-87.0,-77.09900892070375,-78.04525542112621,-77.69741122861231,-77.52288172028504,-79.42589987953824,-79.52230032049222,-79.30231827763087,-80.40712910722165,-80.02044133849309,-79.71014656689438,-79.64340512390339,-79.50085040335132,-79.29911775331047,-79.20103452347959,-79.11568477599177,-79.10790850844181,-79.16487994325486,-79.33757237699689,-79.2595888871521,-79.13309173094234,-79.12591669821505,-79.06731023215656,-79.46695500826067,-79.34639828717356,-79.28244453041984,-79.17686675456366,-79.25913390212322,-79.24770858028977,-79.1938762042553,-79.14340078631425,-79.09596878834235,-79.05130588182878,22,-79.36282462005349,-79.24770858028977,-87.0,2.2377245429144432,-4.004946500626975,21.135037748765175
