hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-113,1,11,2,33,-115.0,-114.00990089207038,-114.0049725762173,-114.0033177828299,-113.75223412924186,-114.4043899055694,-114.6723179397423,-114.43065740026397,-114.50297734597065,-114.33239885068231,-114.29825098489273,-114.27022057253394,-114.50701120789897,-114.385447213426,-114.35634599644564,-114.40208631914156,-114.30783884143926,-114.35204217114055,-114.33059862797579,-114.36962623948683,-114.29295130744478,-114.33106860799342,-114.36588797338985,-114.4482136856156,-114.37744146123912,-114.35951303721272,-114.34288324123987,-114.46278309881917,-114.4423787989581,-114.46643736091197,-114.48899564384759,-114.468710507905,-114.49036161071876,70,-114.36455337370502,-114.36962623948683,-115.0,0.04264781231276624,0.25179066831051766,3.7915458637852884
HDOK,PLOK,17472,2,2,-113,0,11,2,33,-114.0,-114.0,-114.49776482947661,-113.99933278391623,-114.2497531242509,-114.60120506242666,-114.66816900558237,-114.86062702385522,-115.13237787747633,-114.89036637231213,-114.90162921030517,-115.00485698730334,-115.004435675201,-114.84274662732638,-114.77911936110927,-114.79481591802393,-114.80860828011099,-114.88469385692542,-114.83080550926776,-114.78236767210157,-114.79455124705851,-114.805627078109,-114.8157446206124,-114.92578626822456,-115.02715025966314,-114.97836074583071,-114.97936170085762,-114.98029298440761,-115.06934270917674,-115.02320592712724,-115.0222248129495,-115.06278612027434,-115.10097944871457,70,-114.79148754848416,-114.86062702385522,-114.0,0.09371239146939563,1.6476496486916299,2.046215097194304
HDOK,PLOK,17472,3,3,-112,2,11,2,33,-116.0,-113.02970267621113,-113.51268255812852,-112.01093438368473,-113.25946485366373,-114.01056936652381,-114.17671033385851,-114.00666823400888,-114.0058212109305,-114.11865426349893,-114.0037331210928,-114.09736490388545,-113.91543212089707,-113.84158822066473,-113.77804841400743,-113.72275755069698,-113.67417418231693,-113.82270786435798,-114.01624263559563,-113.84038887920266,-113.84932428908856,-113.91135771389882,-113.86391951974873,-113.97153414105044,-113.92405659481346,-113.88016401766572,-113.7469378616591,-113.75835704910946,-113.76901118760732,-113.77897719794412,-113.74604313033088,-113.71509482535474,-113.68595328987227,70,-113.83164777549607,-113.84158822066473,-116.0,0.29285059402066205,-0.7071258675623612,10.610746409156983
HDOK,PLOK,17472,4,4,-113,0,11,2,33,-113.0,-113.0,-113.99552965895323,-113.99701731655371,-113.99776374312962,-114.19901413806969,-114.33351226398175,-114.14081129160299,-114.37697213133654,-114.56117560745005,-114.70898833950585,-114.64235574977252,-114.76012257055535,-114.69880681160052,-114.72154686010344,-114.59920767090794,-114.62614871268524,-114.65002389190909,-114.54951786891075,-114.63408425237166,-114.65456908558647,-114.56537055120286,-114.64004620192438,-114.75893944429863,-114.81958837821308,-114.87565778831869,-114.8814094173197,-114.93188474969294,-115.02306881372247,-115.1083634928608,-115.14606063866951,-115.14000156647009,-115.09354423672661,70,-114.5403364619517,-114.64235574977252,-113.0,0.2507339728124504,1.7213242269015196,3.543625677948414
HDOK,PLOK,17472,5,5,-113,1,11,2,33,-113.0,-113.0,-113.99552965895323,-113.6642334003133,-113.99851348976236,-114.60121603764145,-115.00400959835125,-114.85892384915671,-115.25791464449657,-115.00165550421059,-114.79602223148886,-114.6272273362355,-114.83304995361493,-114.68518584134958,-114.55795451858177,-114.44724077791989,-114.34995804212487,-114.39147152294973,-114.3676262646588,-114.28789056530103,-114.21579139055898,-114.2580684155696,-114.19258315896649,-114.33401935623388,-114.26882765273066,-114.20855849178612,-114.1526548692208,-114.23601455499674,-114.26969899193732,-114.30120782268949,-114.3730303825488,-114.35755586428688,-114.26148077685085,70,-114.33803378683294,-114.33401935623388,-113.0,0.21775448265650624,1.0539534960624921,2.6475264376932244
HDOK,PLOK,17472,6,6,-112,2,11,2,33,-114.0,-113.00990089207038,-114.49826706464714,-113.99966788329985,-114.50025773114841,-114.80140800569262,-115.00267045566775,-114.71327188425224,-114.87671671959967,-114.66372115119006,-114.49280441527026,-114.35250672825309,-114.23518555413324,-114.13554854474093,-114.20081452278468,-114.18654393482365,-114.1067850986426,-114.16382827751862,-114.39749662938665,-114.31601942031735,-114.24234552541836,-114.22928057341964,-114.26939823220036,-114.35658504729822,-114.24142195542429,-114.2299544415695,-114.17306111837384,-114.21037594611217,-114.15700996578119,-114.1933807636039,-114.1429262922014,-114.13699724292754,-114.13141433297739,70,-114.28386564699233,-114.2299544415695,-115.00267045566775,0.10945967454349512,1.102088293507525,6.08916215989707
HDOK,PLOK,17472,7,7,-113,2,11,2,33,-116.0,-115.00990089207038,-116.00050223517053,-114.66919943442198,-114.50173002258738,-115.20418736209699,-115.33781682231884,-114.85548114033381,-115.00086204425652,-114.77377676069996,-114.59155383591934,-114.62994068117875,-114.66204092354441,-114.60863698152407,-114.33618533537182,-114.3122948202183,-114.3585219873423,-114.3994885508932,-114.43606681973563,-114.46894539751773,-114.38671034295982,-114.36586262126389,-114.34681865883827,-114.4301050731925,-114.36021779196652,-114.29560761039676,-114.23567740483647,-114.22504268689214,-114.34739171230552,-114.33240349984669,-114.36062854716828,-114.38715176266453,-114.3713745588186,70,-114.62430679752583,-114.4301050731925,-116.00050223517053,0.19566128542600464,-2.007057099974985,3.8432523136340877
HDOK,PLOK,17472,8,8,-112,2,11,2,33,-113.0,-114.98019821585925,-115.48781967704201,-114.65991330201602,-114.74502114334787,-115.19782394545345,-115.33252192342778,-114.99545772471001,-115.25008189754186,-115.10820544834483,-114.89162612937561,-114.80782875956892,-114.91124187150216,-114.75707035964744,-114.69991164105228,-114.50804640129576,-114.54111525389881,-114.44269536304935,-114.3548181062113,-114.2758291514121,-114.2044052032856,-114.193385630448,-114.13126725654307,-114.37655147464739,-114.30928128462145,-114.3420903405519,-114.28001000901918,-114.31249887014751,-114.43099191596181,-114.45554176488525,-114.56311790418111,-114.4982746697279,-114.43721699890963,70,-114.59035938296022,-114.50804640129576,-115.48781967704201,0.2037091518779624,0.8321715604584108,3.491126003944062
HDOK,PLOK,17472,9,9,-112,2,11,2,33,-116.0,-114.01980178414075,-115.00547481138783,-115.00365288221352,-115.25299210340238,-115.60379365018692,-115.67032292873859,-115.139938007343,-115.12216257810577,-114.76781672183148,-114.79166928150552,-114.62328348794567,-114.48247418862253,-114.3628894880394,-114.25999150011735,-114.2415155875185,-114.15806158682378,-114.3395556494632,-114.50160826118112,-114.53066562493304,-114.44497532535553,-114.52880737752969,-114.44922955634345,-114.57773604187128,-114.50063423688819,-114.42935429106791,-114.45575033441001,-114.48030908109537,-114.45913205336538,-114.39617781339176,-114.33714936605375,-114.28168004437939,-114.27020102269312,70,-114.65117595963471,-114.48247418862253,-116.0,0.2062296146971405,-1.4035545720121643,1.5588259310620889
HDOK,PLOK,17472,10,10,-112,2,11,2,33,-113.0,-114.98019821585925,-115.48781967704201,-114.32712938577562,-113.99501078819158,-114.79921803481822,-114.83293248511927,-114.4235557892231,-114.4967778071182,-114.213409197106,-114.08875372875659,-113.9864297884511,-114.07435042114578,-113.98768727758477,-113.98861688660553,-113.91836228527272,-113.92384992793308,-113.99257585376017,-113.93211621309995,-113.87777173313869,-113.71666723199127,-113.67803139182523,-113.64273835121699,-113.81187544332788,-113.77220019953502,-113.73552078290422,-113.70149820433984,-113.66984376743368,-113.72849091055667,-113.69706017644593,-113.62531084316338,-113.59937090766591,-113.534193364209,70,-114.00725354759443,-113.92384992793308,-115.48781967704201,0.22667182298173863,-1.1582590825197956,2.1279872031435336
