hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-110,4,11,2,33,-111.0,-111.0,-111.49776482947661,-111.66490061639705,-111.49850699824843,-112.20161152540135,-112.16775777889026,-112.14351571678898,-112.76040382572377,-112.67410276419999,-112.50211950856445,-112.4549289959044,-112.32872335530031,-112.3022066818095,-112.20389023825867,-112.1894010791126,-112.17666964187029,-112.1653870289539,-112.21622485674173,-112.20361845935352,-112.13623703738978,-112.12889243983275,-112.12218330192563,-112.31754568611427,-112.30202766224068,-112.24018150483627,-112.18281511402435,-112.21968980201892,-112.21000358701183,-112.20094298404476,-112.19244739541854,-112.14298078395728,-112.05565005754215,66,-112.11525246234403,-112.19244739541854,-111.0,0.14269638008784538,1.6236935437842768,3.2061516327037114
HDOK,PLOK,17472,2,2,-111,3,11,2,33,-115.0,-111.0396035682815,-111.51765513434582,-111.34538783147626,-112.00971346542669,-113.01176974613139,-113.00979342061508,-112.71936553562769,-112.62798913677052,-112.67021003481048,-112.60135828555637,-112.73280631417614,-112.66924012601187,-112.61525545585602,-112.49330386855102,-112.52931148200992,-112.42651199824572,-112.46313653128654,-112.8613090385727,-112.75279051874992,-112.71064751637236,-112.67233620167661,-112.58528738625597,-112.757318828039,-112.67144105762827,-112.59204780836016,-112.56466177992701,-112.6745540926308,-112.64481272131955,-112.57384729051375,-112.54958582879789,-112.4853039490156,-112.46552684848491,66,-112.57708735762192,-112.61525545585602,-115.0,0.3605851536886979,-1.1079711196823243,8.63848755187617
HDOK,PLOK,17472,3,3,-111,3,11,2,33,-110.0,-111.98019821585925,-112.48781967704201,-111.99269721825644,-111.99452476397815,-112.99963095646183,-112.83177719444438,-112.71158011902094,-112.74821625013567,-112.54980467847344,-112.28785916400668,-112.35478803365518,-112.3240124760904,-112.29787580859505,-112.19988634543671,-112.1146181915285,-112.10691361920448,-112.10008581920327,-112.15490126508571,-112.08756791354047,-112.02668327694569,-111.97133433783067,-111.86872200501496,-112.22799207368635,-112.16798177863481,-112.11250278458441,-112.06104235780741,-112.10341192519684,-112.14294286739593,-112.13677559860363,-112.08871431449377,-112.04355088993158,-112.00102411696604,66,-112.15992230415488,-112.1146181915285,-112.99963095646183,0.21629220846449088,2.764769608211313,13.919773569776359
HDOK,PLOK,17472,4,4,-111,4,11,2,33,-117.0,-111.05940535242226,-112.02536511625702,-111.68414009729271,-111.51293173426556,-112.61474245800686,-112.67943325949827,-112.292238174402,-112.63618782493697,-112.3369970529132,-112.40510840651368,-112.36703525249317,-112.24845382325853,-112.14774652070174,-112.06109180022646,-112.05675040152312,-112.0529356704833,-112.04955505187101,-112.107448420739,-112.10118393518918,-112.03953704134166,-112.037405582358,-111.98340631656176,-112.23613969175942,-112.22459986761925,-112.16643152114968,-112.15873299021008,-112.15157031553402,-112.14488751709975,-112.05234636350335,-112.0078546294967,-111.96604552868581,-111.96742924088105,66,-112.2598526351271,-112.107448420739,-117.0,0.78984962696334,-4.713763420567985,25.533683006977586
HDOK,PLOK,17472,5,5,-111,4,11,2,33,-112.0,-111.00990089207038,-111.5027374056939,-111.66821839922696,-112.75226133106837,-113.20361029369428,-113.00150519231308,-112.85678134566103,-112.87497349448458,-112.43518832424004,-112.39048073136229,-112.25979969340679,-112.23726375740755,-112.1374591084582,-112.12708096275671,-112.18911366702085,-112.2436210040822,-112.29192546283745,-112.45687931777731,-112.43024222190802,-112.35017386310558,-112.27738540670252,-112.21089465778637,-112.3514083312869,-112.28536685232835,-112.22431208139155,-112.12142330611859,-112.11594419532587,-112.15492258450757,-112.14823845092286,-112.09969253343179,-112.13704022676862,-112.17220755277897,66,-112.26418341357352,-112.23726375740755,-113.20361029369428,0.15934598510388764,0.4315928640066624,2.7593404988937107
HDOK,PLOK,17472,6,6,-111,4,11,2,33,-113.0,-112.00990089207038,-112.5027374056939,-112.33543448298654,-112.25149087412304,-113.00419657285202,-112.83557617202446,-112.57032378344257,-113.13299719595051,-112.89091540202666,-112.6966586371934,-112.53720219399092,-112.49060339280035,-112.28969732422583,-112.19232533562666,-112.17865801923372,-112.23386817923702,-112.15506993801795,-112.08471248057482,-112.07977355167479,-112.0193252619819,-111.96437299663316,-111.9662274613257,-112.2198262982968,-112.16021505353308,-112.01010521846537,-111.9633813393415,-112.1004058580177,-112.1400693389726,-112.13402604853957,-112.12835961445627,-112.12303483853742,-112.07726893668091,66,-112.31753818480391,-112.17865801923372,-113.13299719595051,0.11011127577334014,-1.1275384304951392,0.15173047826352137
HDOK,PLOK,17472,7,7,-111,3,11,2,33,-112.0,-112.0,-112.0,-111.6672160837596,-111.75049637936974,-112.80460380129644,-112.66949816645378,-112.28373876525939,-112.6287680413274,-112.55740681511693,-112.39741192105153,-112.45404473432284,-112.41465930264924,-112.3005449319352,-112.27785382671523,-112.25810855421469,-112.30797809258732,-112.28830975812643,-112.3316601339411,-112.31232359923695,-112.2388566051858,-112.22597974238447,-112.21421699464038,-112.35456329054176,-112.28836763303448,-111.98967092656046,-111.99014871280494,-112.12596537930247,-112.12041151318688,-112.11521635947939,-112.11034517277038,-112.06428442957925,-112.06166471129976,66,-112.23043376903438,-112.25810855421469,-112.0,0.05713389561603076,-0.07042991268377954,0.5893768516925184
HDOK,PLOK,17472,8,8,-111,3,11,2,33,-115.0,-112.02970267621113,-112.0149177286519,-112.0099533484897,-113.00847595856665,-113.60917802924519,-113.84271891608809,-113.57643435572669,-113.3761899913156,-113.10650734152419,-112.89010247178574,-112.90043093066464,-112.73558089076337,-112.59557918095108,-112.62611290281123,-112.5816191125753,-112.54252299303165,-112.63560151365398,-112.90144513979389,-112.79058659464178,-112.74632767810684,-112.76000326259809,-112.77249562608021,-113.03585457194082,-112.93636514023997,-112.8443880289015,-112.75907319066035,-112.72482073745053,-112.73695350591794,-112.74830264465727,-112.71666545430132,-112.76990236151482,-112.73852730999633,66,-112.88070726026842,-112.76000326259809,-115.0,0.2916977381773482,-1.8544456490688226,6.4085851710888715
HDOK,PLOK,17472,9,9,-112,3,11,2,33,-112.0,-112.0,-113.49329448842984,-112.99635010046994,-112.7470101328545,-113.40021489471705,-113.33301251842066,-113.14038376244227,-113.63064610514807,-113.44557800700963,-113.29707146533418,-113.26915190732723,-113.41929173747636,-113.30480368853169,-113.28179104771498,-113.2617659824095,-113.24417021583398,-113.22857682920682,-113.09283007114584,-113.02911561036532,-112.80355614260128,-112.81414651584183,-112.82382060268007,-112.98383486533962,-112.98462483338689,-112.93785527218945,-112.8944734189207,-112.89923520516909,-112.99185880123531,-112.94906506173182,-112.95121851976015,-112.91175886970557,-112.83385089588153,66,-113.04225325967518,-112.99635010046994,-112.0,0.12134509732204887,1.3340525017465235,3.031068629760395
HDOK,PLOK,17472,10,10,-111,3,11,2,33,-116.0,-112.0396035682815,-113.51318479329903,-113.00962123178955,-113.007213486137,-113.20656635990949,-113.50771207920907,-113.43434446648094,-113.37917246942949,-113.10915132709177,-112.99520643654803,-112.99565694825472,-113.34300769971176,-113.23467315002216,-113.14145547977553,-113.13140315468114,-113.12257030628818,-113.11474262686204,-113.0468415809184,-113.16071512702263,-113.09573553557001,-113.09057439147777,-112.98175534890461,-113.1841924201775,-113.12632255435717,-113.02532248868808,-113.02415116031659,-113.20355754434665,-113.19458260730934,-113.18618734237977,-113.13603699877663,-113.04742720962258,-113.0047424689249,66,-113.2058615261383,-113.12632255435717,-116.0,0.300059087952433,-3.9085953687727994,21.439487407260245
HDOK,PLOK,17472,11,11,-112,3,11,2,33,-113.0,-112.00990089207038,-113.49826706464714,-113.33245179954025,-113.24925461725266,-113.60080665630741,-114.1715846888155,-114.00228327715492,-114.12901684541463,-113.88738679629381,-113.59076093071083,-113.44125703261605,-113.7499548709355,-113.60879367509082,-113.48732995143506,-113.45269856700347,-113.42226841622242,-113.39530118497308,-113.3103107956374,-113.2922189755636,-113.21987748612783,-113.20802379583625,-113.14514347289517,-113.33934913563687,-113.27389697309536,-113.21338702004302,-113.11100359929802,-113.2864908499178,-113.36204018307662,-113.4327099453808,-113.2875797647591,-113.27565001713073,-113.22366474340289,66,-113.39426254619045,-113.33934913563687,-114.1715846888155,0.1356714618869262,0.9544903167135566,5.530536367548729
HDOK,PLOK,17472,12,12,-111,3,11,2,33,-117.0,-113.0396035682815,-113.0198903048692,-112.6804872150792,-113.26095309991523,-114.01175877091659,-114.17770001854413,-113.86300856616131,-114.26148050604904,-113.89132293938604,-113.69702430758775,-113.63151612905547,-113.5767362065688,-113.53021342249114,-113.41468249819576,-113.38521369791007,-113.29210038860496,-113.27344604832065,-113.19587808191287,-113.18445794744062,-113.11814917647204,-113.00395883906454,-112.89964832846421,-113.10622190863393,-113.05216235519535,-112.95468489006963,-112.91052455846301,-112.91456205236001,-113.00650988134052,-113.00622901256571,-112.96368705572576,-112.88222690495493,-112.88702639266823,66,-113.39675954767478,-113.18445794744062,-117.0,0.5652498367232706,-3.503068554615716,15.61971383845445
HDOK,PLOK,17472,13,13,-111,2,11,2,33,-112.0,-112.99009910792962,-113.99055708273593,-113.328131701243,-113.2460156381012,-113.79901942008527,-113.66485149069159,-113.42426990041467,-114.00549560269633,-113.89137816281155,-113.79980545788503,-113.72463763639607,-113.83526703793667,-113.76788970387905,-113.70991412613145,-113.65946512552502,-113.74957514868578,-113.70170520246957,-113.71987489318005,-113.61960230339486,-113.52893311718353,-113.50041810427126,-113.42231800784235,-113.60255976197264,-113.52424485570049,-113.4518434083255,-113.38468628976268,-113.36732768811179,-113.35113205712476,-113.24969248461142,-113.32369304099215,-113.26878193161802,-113.21707654602609,66,-113.50970491017381,-113.52893311718353,-114.00549560269633,0.1282679823989078,2.2352500004038824,8.47896302412963
HDOK,PLOK,17472,14,14,-111,3,11,2,33,-115.0,-112.02970267621113,-112.51268255812852,-112.00928613240595,-112.25721561376552,-113.0087717770371,-113.34313031815576,-113.14903947600092,-113.76522593716425,-113.67837759625809,-113.50595518028523,-113.27043891843182,-113.24698009876361,-113.14639167510794,-113.13533912172826,-113.05465792109814,-113.05098384545128,-112.98386510459646,-112.86302419265216,-112.81270793349421,-112.71122823516072,-112.72679604578852,-112.68896469658083,-112.95653188713453,-112.90978748055149,-112.81907280485261,-112.82744185417712,-113.01572455789201,-113.0150312555756,-112.9712377407276,-112.93017516597436,-113.05752152347597,-113.01442541942494,66,-113.01417317406222,-113.0087717770371,-115.0,0.26417969490245635,-1.4261747920631969,6.106504983409151
